Единица освещенности.|люкс
Небольшой военный сторожевой отряд, высылаемый в сторону противника на небольшое расстояние от основных войск.|пикет
Небольшая группа вооруженных людей, выделенная для поддержания порядка, для охраны дозор.|пикет
Группа бастующих, патрулирующая в районе забастовки.|пикет
Группа людей, выставленная для выражения протеста.|пикет
Точка местности, высота которой определяется при геодезической съемке.|пикет
Небольшой деревянный кол с номером, забиваемый в землю при нивелировании.|пикет
Старинная карточная игра, рассчитанная на двух, трех, иногда четырех игроков.|пикет
Род алкогольного напитка; эссенция, прибавляемая в алкогольный напиток.|пикон
Название группы племен, составляющих древнее население Шотландии.|пикты
Крупная промысловая рыба семейства тресковых.|пикша
Восточное кушанье из вареного рассыпчатого риса с кусочками мяса, маслом и пряностями; плов.|пилав
Башня в виде усеченной пирамиды, воздвигавшаяся у входа в древний египетский храм.|пилон
Массивный столб или устой прямоугольного сечения, служащий опорой перекрытий, подвесных мостов или стоящий с каждой стороны в воротах здания, у входа в парк, на мост и т.п.|пилон
Летчик, специалист по управлению самолетом или другим летательным аппаратом.|пилот
Спортсмен, управляющий бобом, малолитражным гоночным автомобилем.|пилот
Дерево семейства сосновых с характерной зонтиковидной кроной, красновато-бурой корой и темно-зеленой хвоей; итальянская сосна.|пиния
Столб газов и пепла, поднимающийся над кратером вулкана при извержении, формой напоминающий зонтиковидную крону пинии.|пиния
Единица измерения жидкостей и сыпучих тел, применяемая в странах с английской системой мер, равная приблизительно 0,5 л.|пинта
Старинное название курительной трубки.|пипка
Морской разбойник; корсар.|пират
Минерал золотистого цвета с металлическим блеском, представляющий собою соединение железа с серой; серный или железный колчедан.|пирит
Мягкое выпечное изделие из раскатанного - обычно дрожжевого - теста с начинкой.|пирог
Минерал из группы гранатов красивого темно-красного цвета, прозрачные разновидности которого являются драгоценными камнями.|пироп
Крупная неядовитая змея семейства удавов, обитающая преимущественно в джунглях.|питон
Большой глиняный сосуд яйцевидной формы, употреблявшийся в древней Греции для хранения зерна, вина и т.п.|пифос
Северное крупное хвойное дерево семейства сосновых, пирамидальной формы, с мягкой плоской хвоей.|пихта
Традиционное итальянское блюдо в виде тонкой лепешки из теста с запеченными на ней под соусом кусочками мяса, сыра, овощей и т.п.|пицца
Дудочка или свистулька, издающая звуки, напоминающие писк.|пищик
Тонкая камышовая пластинка для извлечения звуков в духовых деревянных инструментах.|пищик
Тонкая стальная пластинка, являющаяся источником звуков в баянах, аккордеонах и т.п. язычковых музыкальных инструментах.|пищик
Расплавленный чугун.|плавь
Огонь, подымающийся над горящим предметом.|пламя
Жар, зной, тепло.|пламя
Светящийся пар или газ, выделяемый некоторыми веществами при горении.|пламя
Сплошной слой, массив однородного по составу, расположенный на значительном протяжении.|пласт
Уплотненная масса осадочной горной породы, ограниченная двумя более или менее параллельными плоскостями.|пласт
Полоса почвы, поднимаемая при вспашке плугом в один раз.|пласт
Возмещение стоимости полученного или использованного; то, чем возмещают.|плата
Половинка расколотого вдоль бревна или куска бревна.|плаха
Сословие свободного (не находящегося в рабстве) населения, не пользовавшееся политическими и гражданскими правами (в Древнем Риме); плебеи.|плебс
Компактный магнитофон с наушниками для воспроизведения звукозаписи.|плеер
Этническая и социальная общность людей, связанных родовыми отношениями, территорией, культурой, языком и самоназванием.|племя
Шум, производимый движущимися, падающими или ударяющими обо твердое волнами жидкости или ударом плашмя по поверхности жидкости.|плеск
Кнут из перевитых ремней или веревок.|плеть
Стебель, ветка вьющегося или ползучего растения.|плеть
Часть туловища от шеи до руки.|плечо
Верхняя часть руки (или передней конечности животного) до локтевого сустава.|плечо
Часть предмета, расположенная под углом к остальной его части.|плечо
Часть рычага от точки опоры до точки приложения силы.|плечо
Голое место с выпавшими или не выросшими волосами на голове человека (обычно на темени).|плешь
Плоский прямоугольный кусок камня, металла, дерева и т.п. с гладкой поверхностью.|плита
Низкая прямоугольная печь, покрытая сверху чугунной пластиной и служащая для приготовления пищи.|плита
Особый черпак для отлива воды из судна, лодки.|плица
Лопасть гребного колеса.|плица
Новый росток, молодая ветка, стебель с листьями и почками.|побег
Удары, наносимые.|побои
Специалист в области приготовления пищи.|повар
Обстоятельство, которое может быть основанием для предлог.|повод
Ремень, прикрепленный к удилам и служащий для управления лошадью.|повод
Растение семейства вьюнковых с крупными воронковидными цветками.|повой
Знак отличия в виде широкой нашивной или накладной полосы на военной и другой форменной одежде, носимый на плечах.|погон
Ремень, тесьма для носки (обычно ружья) через плечо.|погон
Нижний край платья, юбки, пальто и т.п.|подол
Состав сцепленных между собою железнодорожных вагонов, приводимый в движение локомотивным или моторным вагоном.|поезд
Ряд экипажей, повозок, саней и т.п., следующих друг за другом в одном направлении.|поезд
Распространение огня, сопровождающееся уничтожением имущества и всего того, что может сгореть.|пожар
Призывный крик птиц, зверей.|позыв
Действия ищущего, розыск.|поиск
Разведка, разведывательная боевая операция.|поиск
Питье для скота, обычно с прибавкою отрубей, муки и т.п.|пойло
Низкая часть речной долины, заливаемая в половодье водой.|пойма
Род азартной карточной игры.|покер
Состояние относительной неподвижности, отсутствия движения.|покой
Отсутствие движения и шума; тишина.|покой
Название буквы древней славянской или старой русской азбуки.|покой
Косьба, кошение травы.|покос
Место косьбы, луг, который косят.|покос
Злак, разновидность пшеницы.|полба
Движение летящего предмета.|полет
Авиационный вылет, рейс.|полет
Акробатический прыжок на дальнее расстояние или на большой высоте.|полет
Сидячая форма особи кишечнополостных животных.|полип
Опухоль, связанная ножкой со слизистой оболочкой, на которой она расположена.|полип
Город-государство в античном мире, состоящее из самого города и прилегающей к нему территории.|полис
Документ, выдаваемый страховым учреждением лицу в удостоверение заключенного между ними договора о страховании.|полис
Свидетельство, выдаваемое лечебным учреждением - обычно поликлиникой - и предоставляющее пациенту право на бесплатное медицинское обслуживание.|полис
Прикрепленная к стене горизонтальная доска для предметов домашнего обихода, книг и т.п.|полка
Спальное место в железнодорожном вагоне в виде дощатого настила или дивана.|полка
Дощатый настил, на котором парятся; полок (в бане).|полка
Половина передней части лифа.|полка
Занавеска, закрывающая кровать сверху и с боков.|полог
Одна из двух загнутых спереди и скользящих по снегу пластин, на которых закреплены сани.|полоз
Брус, употребляемый при переволакивании тяжестей, при спуске судов и т.п.|полоз
Неядовитая змея семейства ужей.|полоз
Высокий помост в бане, на котором парятся.|полок
Подмостки в рудниках, шахтах, между которыми устанавливаются рудничные лестницы.|полок
Покатый стол.|полок
Телега с плоским настилом для перевозки громоздких предметов.|полок
Точка пересечения оси вращения Земли с земной поверхностью.|полюс
Точка пересечения неподвижной оси с поверхностью вращающегося тела.|полюс
Один из двух противоположных концов электрической цепи или магнита.|полюс
Испражнения животного.|помет
Единовременный приплод некоторых животных.|помет
Отрава для зверей, разбрасываемая в местах их обитания (в речи охотников).|помет
Грязная вода после мытья посуды, продуктов и т.п. (обычно с отбросами).|помои
Торжественность, пышность, рассчитанная на внешний эффект.|помпа
Насос для выкачивания или нагнетания жидкости или газа.|помпа
Расстройство функции кишечника, выражающееся в появлении жидких и обычно учащенных испражнений.|понос
Луковичное огородное растение с широкими плоскими листьями, употребляемое в пищу как приправа.|порей
Брус - обычно деревянный - на полу в нижней части дверного проема.|порог
Каменистое поперечное возвышение дна реки, нарушающее плавность ее течения.|порог
Наименьшая величина, степень при которой возможно проявление свойства, качества.|порог
Недостаток, изъян, заслуживающий порицания, осуждения; позорящее свойство.|порок
Безнравственное поведение, разврат.|порок
Физический недостаток.|порок
Недостаток, неисправность.|порок
Взрывчатое вещество, применяемое для изготовления снарядов и патронов.|порох
Место заключения, темница (на Руси IX-XIII вв.).|поруб
Внезапное резкое усиление ветра.|порыв
Высший ранг дипломатического представителя одного государства в другом.|посол
Длинная палка, трость с загнутым верхним концом или набалдашником.|посох
Жезл, символизирующий духовную власть высших священнослужителей христианского и некоторых других религиозных культов.|посох
Углекислый калий, получаемый из древесной или травяной золы и употребляемый в стекольном производстве, мыловарении, фотографии, текстильной промышленности и т.п.|поташ
Чаша, употребляемая в христианском культовом обряде.|потир
Стремительно текущая водная масса (реки, ручья с быстрым течением).|поток
Наводнение, посланное на землю - по библейскому преданию - в наказание за грехи людей и приведшее к гибели человечества.|потоп
Движение, которым оттягивают, тянут при ударе кнутом, саблей и т.п.|потяг
Длинный, толстый и крепкий ремень в собачьей упряжи.|потяг
Передвижение войска или флота с целью.|поход
Передвижение, переход организованного отряда людей с определенной целью.|поход
Поверхностный слой земной коры, в котором развивается растительная жизнь.|почва
Порода, на которой залегает полезное ископаемое.|почва
Глубокое уважение, почтение, проявляемое по отношению к обществом, окружающими людьми.|почет
устар.. Начало в развитии.|почин
Не развившийся еще побег растения, зачаток листа, стебля или цветка.|почка
Зачаток нового организма в виде бугорка на поверхности тела некоторых низших животных или растительных организмов, размножающихся бесполым путем.|почка
Старинная русская единица измерения веса драгоценных камней, металлов и т.п., равная по Торговой книге конца XVI в. - начала XVII в. 1/25 золотника.|почка
Орган мочеотделения человека и позвоночных животных.|почки
Орган мочеотделения некоторых животных, употребляемый в пищу.|почки
Учреждение, осуществляющее пересылку и доставку адресатам писем, газет, журналов, денег, легких грузов и т.п.|почта
Учреждение, занимавшееся - наряду с пересылкой корреспонденции - регулярной перевозкой пассажиров в конных экипажах (в Российском государстве до 1917 г.).|почта
Шитье.|пошив
Повествовательное художественное произведение в стихах.|поэма
Музыкальное произведение для оркестра (или оркестра и хора) или отдельного инструмента, имеющее поэтически-образное содержание.|поэма
Документ, удостоверяющий официальное разрешение на вождение транспортного средства.|права
Совокупность устанавливаемых и охраняемых государственной властью норм и правил, регулирующих отношения людей в обществе.|право
Свобода, возможность совершать, осуществлять предоставляемые законами государства.|право
Обычаи, существующие в среде, в обществе.|право
Возможность делать действовать образом.|право
Причина, основание, повод для действия.|право
Древнее ручное оружие для метания камней.|праща
Машина, устройство для обработки материалов давлением.|пресс
Характер встречи, оказываемый.|прием
Сбор приглашенных лиц (обычно у официальных лиц в честь.|прием
Совершение, исполнение действия за один раз.|прием
Способ, образ действий при выполнении.|прием
Первая ступень гаммы, а также основной тон трезвучия.|прима
Интервал в пределах одной ступени звукоряда.|прима
Ведущая партия, исполняемая на одном из группы инструментов в инструментальном ансамбле.|прима
Лицо, ведущее первую партию в ансамбле.|прима
Титул нецарствующего члена королевского дома.|принц
Настоятель католического мужского монастыря.|приор
Духовенство церкви; клир.|причт
Место, где можно укрыться от отдохнуть.|приют
Благотворительное учреждение для одиноких и нуждающихся (детей, стариков и т.п.).|приют
Проверка, испытание.|проба
Предварительный экземпляр, образец.|проба
Небольшая часть взятая для определения качества, состава.|проба
Количество весовых частей благородного металла, заключающееся в определенном числе весовых долей сплава.|проба
Отверстие в стене различной формы и назначения (для двери, окна, бойницы и т.п.).|проем
Ритмически не организованная речь.|проза
Нестихотворная литература.|проза
Круглое, очищенное от коры бревно определенной длины.|пропс
Хлебный злак, из зерен которого получают пшено.|просо
Пучок волос.|прядь
Отдельный пучок, нить, жила, из которых состоит крученая веревка, трос и т.п.|прядь
Нитки, полученные прядением.|пряжа
Женщина, занимающаяся ручным прядением.|пряха
Теплокровное позвоночное животное с телом, покрытым перьями и пухом, с двумя ногами, крыльями и клювом.|птица
Такие животные, разводимые для личного хозяйства (куры, гуси, утки, индейки).|птица
Игрушечный пистолет, стреляющий пробкой или пистонами.|пугач
Мелкий - обычно душистый - порошок, употребляемый для нанесения на кожу как косметическое или гигиеническое средство.|пудра
Мелкий порошок из минеральных и других веществ, употребляемый в различных производствах.|пудра
Толчкообразное ритмическое колебание стенок кровеносных сосудов, вызываемое током крови, выбрасываемой сердцем при каждом его сокращении, особенно заметное выше запястья.|пульс
Наклонный столик, подставка для нот; пюпитр.|пульт
Определенное место на земной поверхности.|пункт
Отдельная статья, раздел, параграф официального документа или текста, обозначаемые цифрой или буквой.|пункт
Вопрос, предмет и т.п., на котором сосредоточены все мысли человека.|пункт
Момент, период в развитии.|пункт
Знак в виде точки, ставящийся справа от ноты для обозначения прибавления ей половины длительности.|пункт
Единица типографского измерения литер и пробельного материала, равная приблизительно 0,4 мм.|пункт
Круглый рубец на середине живота, оставшийся на месте отпадения пуповины.|пупок
Задний толстостенный мышечный отдел птичьего желудка.|пупок
Тонкая, жирная срединная часть рыбьего брюшка; тешка.|пупок
Шкура с середины брюха зверя, имеющая особенную мягкость.|пупок
Сильная вьюга, снежная буря.|пурга
Специальные весы для определения объемного веса зерна.|пурка
Отверстие для вливания чугуна в форму при отливке; литник.|путец
Часть металла, оставшаяся на отлитой вещи в месте вливания металла в форму.|путец
Растение семейства зонтичных с цветками, собранными в зонтик, растущее в лесах и на низких местах.|пучка
Множество расходящееся из одного источника, одной точки.|пучок
Группа тканей, волокон в виде протяженных скоплений, шнуров.|пучок
Прическа в виде закрученных в узел волос.|пучок
Свитые в одну прядь волосы (мужская прическа в Российском государстве XVIII в.).|пучок
Артиллерийское орудие с длинным стволом, предназначенное для прицельной стрельбы по наземным, морским и воздушным целям, а также по целям, расположенным на больших расстояниях.|пушка
Аппарат, прибор, действием или видом напоминающий пушку.|пушка
Насекомое семейства перепончатокрылых с брюшком золотистого цвета и острым жалом, собирающее цветочную пыльцу и перерабатывающее ее в мед.|пчела
Крупа, приготовляемая из проса.|пшено
Северный олень в возрасте до двух месяцев, с ценным густым и нежным мехом.|пыжик
Морская птица подотряда чистиковых, обитающая преимущественно на севере; кайра.|пыжик
Кормовое или сорное растение семейства злаков, родственное пшенице и полбе.|пырей
Физическое насилие, истязание при допросе обвиняемого с целью вынудить у него показание.|пытка
Пышная круглая булочка.|пышка
Единица измерения механического напряжения и давления в системе единиц "метр - тонна - секунда".|пьеза
Драматическое произведение, предназначенное для театрального представления.|пьеса
Законченное музыкальное произведение (обычно небольшого размера).|пьеса
Рамка, на которую натягиваются шкурки зверей для просушки и придания им правильной формы.|пялка
Задняя часть ступни человека и животного.|пятка
Соотношение, расположение различных цветов, тонов на картине (в живописи).|пятна
Часть поверхности, выделяющаяся по цвету.|пятно
След, оставленный на поверхности пачкающим.|пятно
Питейное заведение (в Российском государстве до 1917 г.).|кабак
Парнокопытное млекопитающее семейства свиней; дикая свинья.|кабан
Самец дикой свиньи.|кабан
Самец домашней свиньи.|кабан
Большой кусок, глыба необработанного материала.|кабан
Острый соус из сои и различных специй для приправы кушаний.|кабул
Еврейская община.|кагал
Титул главы государства у древних тюркских народов.|каган
Наименование хазарского хана в VII-X вв.|каган
Куча корнеплодов, картофеля, сложенная на земле и укрытая для длительного хранения; бурт.|кагат
Красное десертное виноградное вино.|кагор
Член конституционно-демократической партии.|кадет
Деревянный сосуд цилиндрической формы из досок, стянутых обручами.|кадка
Командный и рядовой состав, состоящий на действительной службе (в вооруженных силах государства).|кадры
Основной состав подготовленных работников предприятия, учреждения, организации.|кадры
Выпуклость на передней поверхности шеи у мужчин, образованная щитовидным хрящом гортани.|кадык
Член военно-земледельческой общины вольных поселенцев из бежавших на окраины государства (Дон, Яик, Запорожье) крепостных крестьян, холопов и городской бедноты (на Руси XIV-XVII вв.).|казак
Представитель военного сословия, уроженец из бывших окраинных областей государства (области Войска Донского, Кубанской, Терской, Оренбургской и т.п.), обязанный нести службу в особых войсковых частях со своим снаряжением, оружием и конем за льготное пользование землей (в Российском государстве с XVIII в.).|казак
Уроженец некоторых областей России, жители которых в Российском государстве до 1917 г. обязаны были нести службу в особых войсковых частях.|казак
Старинная верхняя одежда в виде широкого плаща, иногда с рукавами, пелериной и капюшоном.|казак
Денежные средства.|казна
Хранилище денежных средств, ценностей.|казна
Лишение жизни как высшая мера наказания.|казнь
Случай (обычно странный или неприятный).|казус
Сложное или запутанное дело (в юриспруденции).|казус
Полоса по краю ткани, изделия, отличающаяся цветом или узором.|кайма
Хищное млекопитающее семейства куньих, ведущее водный образ жизни; морская выдра, камчатский бобр.|калан
Хлебное изделие из пшеничной муки, выпеченное в форме замка с дужкой или с двумя согнутыми рожками.|калач
Пшеничный хлеб любой формы.|калач
Химический элемент, серебристо-белый, мягкий, легкоплавкий металл, применяющийся (в соединениях) в сельском хозяйстве, промышленности, фармакологии и т.п.|калий
Выкуп за невесту, который платит жених ее родителям.|калым
Драгоценный или полудрагоценный резной камень с выпуклым изображением.|камея
Пристенная комнатная печь с широкой открытой топкой и прямым дымоходом.|камин
Старинная шелковая цветная ткань с узорами.|камка
Мелкая морская промысловая рыба семейства анчоусов; хамса.|камса
Высокое многолетнее водное или болотное растение семейства осоковых.|камыш
Наполненное водой искусственное русло, устраиваемое в грунте для судоходной связи между отдельными водоемами, а также для водоснабжения, орошения, осушения болот и т.п.|канал
Узкий проход для судов в заливе, проливе, во льдах и т.п.|канал
Узкое длинное полое пространство внутри обычно в виде трубы, трубки.|канал
Путь прохождения сигналов к органам, приборам и т.п.|канал
Линия связи, коммуникации.|канал
Толстая прочная веревка из переплетенных растительных, синтетических или металлических волокон.|канат
Редкая сетчатая проклеенная или накрахмаленная хлопчатобумажная (иногда льняная) ткань, служащая основой для вышивания.|канва
Непреложное правило, положение направления, учения и т.п.|канон
Установленное и узаконенное церковью правило, догмат, обряд и т.п.|канон
Церковное песнопение в честь святого, праздника и т.п.|канон
Точное повторение одной мелодии разными, последовательно вступающими друг за другом голосами (форма многоголосной музыки).|канон
Полусветские-полудуховные стихи, которые распевались паломниками, нищими-слепцами.|канты
День, предшествующий празднику или знаменательному дню.|канун
Временной период, непосредственно предшествующий значительному событию.|канун
Название различных церковных молебнов, а также обрядовых песнопений.|канун
Поминальное кушанье, напиток.|канун
Хищная птица семейства ястребиных, крик которой напоминает плач; сарыч.|канюк
Частновладельческое судно, занимавшееся (до запрещения в 1856 г.) в военное время с ведома своего правительства нападением на торговые суда противника и нейтральных стран, перевозившие грузы для воюющей страны.|капер
Жидкое лекарство, принимаемое по счету капель.|капли
Маленькая частица жидкости, принявшая округлую форму.|капля
Волокно плодов хлопкового дерева, которое используется для набивки спасательных поясов, кругов, мягкой мебели, а также как звуко- и теплоизоляционный материал.|капок
Детский или женский головной убор, надеваемый обычно в холодное время, с лентами или тесемками, завязываемыми под подбородком.|капор
Откидная крышка различных механизмов.|капот
Единица массы, применяемая в ювелирном деле при взвешивании драгоценных камней, равная 0,2 г.|карат
Единица измерения содержания золота в сплавах, равная 1/24 массы сплава.|карат
Лента из кожи или многослойной прорезиненной ткани, усаженная стальными согнутыми под углом иглами; кардная лента.|карда
Чесальная или ворсовальная машина; кардная машина.|карда
Совокупность явлений, возникающих в растворимых водой горных породах (известняке, гипсе и т.п.) и выражающихся в образовании в них пещер, пустот, впадин и т.п.|карст
Своеобразный чертеж поверхности Земли, небесного тела или звездного неба.|карта
Каждый из составляющих игральную колоду плотных листков с изображенными на них фигурами или очками четырех мастей.|карта
Бланк для заполнения сведениями.|карта
Карточная игра.|карты
Металлический, пробковый, пластмассовый и т.п. головной убор в виде шлема (у военных, пожарных, строителей и т.п.), защищающий голову от повреждений.|каска
Отделение учреждения, предприятия, в котором производятся денежные операции (прием, хранение и выдача денег, продажа билетов и т.п.).|касса
Деньги, денежная наличность предприятия, учреждения, организации.|касса
Разделенный на ячейки ящик со шрифтом для ручного набора текста (в типографском деле).|касса
Строго обособленная общественная группа людей, связанных происхождением, родом занятий, правовым положением и т.п. (в Индии и некоторых других странах Востока).|каста
Небольшое легкое моторное, паровое или парусно-гребное судно.|катер
Малый боевой корабль специального или вспомогательного назначения.|катер
Одна из двух сторон, образующих прямой угол в прямоугольном треугольнике.|катет
Отрицательно заряженный электрод.|катод
Специальная площадка, покрытая льдом, или участок ровной ледяной поверхности, предназначенные для катания на коньках.|каток
Вращающийся на оси цилиндр, предназначенный для выравнивания дороги и уплотнения грунта.|каток
Станок, приспособление для разглаживания белья, тканей.|каток
Любое приспособление для скатывания сверху вниз или для перекатывания тяжелых предметов с места на место.|каток
Сельскохозяйственное орудие для дробления почвенных глыб, комков, выравнивания поверхностного слоя почвы.|каток
Раскачивание судна на волнах.|качка
Помещение на судне для экипажа, пассажиров, а также для разных служебных целей.|каюта
Наименьшее возможное количество энергии, которое может быть поглощено или отдано молекулярной, атомной или ядерной системой в отдельном акте изменения ее состояния.|квант
Один из самых распространенных в земной коре породообразующих минералов, встречающийся в виде кристаллов и сплошных зернистых масс; двуокись кремния.|кварц
Доля, часть, норма допускаемого.|квота
Доля в производстве, сбыте или экспорте продукции, устанавливаемая в рамках соглашения для каждого из участников.|квота
Игра, заключающаяся в том, чтобы сбить расставленные в определенном порядке фигуры катаемым по дорожке, настилу шаром.|кегли
Размер шрифта (от верха до низа строки), определяемый числом пунктов.|кегль
Фигура для игры в виде точеного деревянного или пластмассового суживающегося кверху столбика.|кегля
Отдельная комната или отдельное жилище монаха, монахини в монастыре.|келья
Однолетнее травянистое растение семейства мальвовых, волокно которого используется для изготовления технических тканей.|кенаф
